no,name,type1,type2,abilities,hp,atk,def,spa,spd,spe
254,メガジュカイン,くさ,ドラゴン,ひらいしん,70,110,75,145,85,145
257,バシャーモ,ほのお,かくとう,もうか/かそく,80,120,70,110,70,80
257,メガバシャーモ,ほのお,かくとう,かそく,80,160,80,130,80,100
260,ラグラージ,みず,じめん,げきりゅう/しめりけ,100,110,90,85,90,60
260,メガラグラージ,みず,じめん,すいすい,100,150,110,95,110,70
279,ペリッパー,みず,ひこう,するどいめ/あめふらし/あめうけざら,60,50,100,95,70,65
282,サーナイト,エスパー,フェアリー,シンクロ/トレース/テレパシー,68,65,65,125,115,80
282,メガサーナイト,エスパー,フェアリー,フェアリースキン,68,85,65,165,135,100
302,ヤミラミ,あく,ゴースト,するどいめ/あとだし/いたずらごころ,50,75,75,65,65,50
302,メガヤミラミ,あく,ゴースト,マジックミラー,50,85,125,85,115,20
303,クチート,はがね,フェアリー,かいりきバサミ/いかく/ちからずく,50,85,85,55,55,50
303,メガクチート,はがね,フェアリー,ちからもち,50,105,125,55,95,50
306,ボスゴドラ,はがね,いわ,がんじょう/いしあたま/ヘヴィメタル,70,110,180,60,60,50
306,メガボスゴドラ,はがね,いわ,フィルター,70,140,230,60,80,50
308,チャーレム,かくとう,エスパー,ヨガパワー/テレパシー,60,60,75,60,75,80
308,メガチャーレム,かくとう,エスパー,ヨガパワー,60,100,85,80,85,100
310,ライボルト,でんき,,せいでんき/ひらいしん/マイナス,70,75,60,105,60,105
310,メガライボルト,でんき,,いかく,70,75,80,135,80,135
319,サメハダー,みず,あく,さめはだ/かそく,70,120,40,95,40,95
319,メガサメハダー,みず,あく,がんじょうあご,70,140,70,110,65,105
323,バクーダ,ほのお,じめん,マグマのよろい/ハードロック/いかりのつぼ,70,100,70,105,75,40
323,メガバクーダ,ほのお,じめん,ちからずく,70,120,100,145,105,20
324,コータス,ほのお,,しろいけむり/ひでり/シェルアーマー,70,85,140,85,70,20
334,チルタリス,ドラゴン,ひこう,しぜんかいふく/ノーてんき,75,70,90,70,105,80
334,メガチルタリス,ドラゴン,フェアリー,フェアリースキン,75,110,110,110,105,80
350,ミロカロス,みず,,ふしぎなうろこ/かちき/メロメロボディ,95,60,79,100,125,81
351,ポワルン,ノーマル,,てんきや,70,70,70,70,70,70
354,ジュペッタ,ゴースト,,ふみん/おみとおし/のろわれボディ,64,115,65,83,63,65
354,メガジュペッタ,ゴースト,,いたずらごころ,64,165,75,93,83,75
358,チリーン,エスパー,,ふゆう,75,50,80,95,90,65
358,メガチリーン,エスパー,はがね,ふゆう,75,50,110,135,120,65
359,アブソル,あく,,プレッシャー/きょううん/せいぎのこころ,65,130,60,75,60,75
359,メガアブソル,あく,,マジックミラー,65,150,60,115,60,115
362,オニゴーリ,こおり,,せいしんりょく/アイスボディ/ムラっけ,80,80,80,80,80,80
362,メガオニゴーリ,こおり,,フリーズスキン,80,120,80,120,80,100
376,メタグロス,はがね,エスパー,クリアボディ/ライトメタル,80,135,130,95,90,70
376,メガメタグロス,はがね,エスパー,かたいツメ,80,145,150,105,110,110
389,ドダイトス,くさ,じめん,しんりょく/シェルアーマー,95,109,105,75,85,56
392,ゴウカザル,ほのお,かくとう,もうか/てつのこぶし,76,104,71,104,71,108
395,エンペルト,みず,はがね,げきりゅう/かちき,84,86,88,111,101,60
398,ムクホーク,ノーマル,ひこう,いかく/すてみ,85,120,70,50,60,100
398,メガムクホーク,かくとう,ひこう,あまのじゃく,85,140,100,60,90,110
405,レントラー,でんき,,とうそうしん/いかく/こんじょう,80,120,79,95,79,70
407,ロズレイド,くさ,どく,しぜんかいふく/どくのトゲ/テクニシャン,60,70,65,125,105,90
409,ラムパルド,いわ,,かたやぶり/ちからずく,97,165,60,65,50,58
411,トリデプス,いわ,はがね,がんじょう/ぼうおん,60,52,168,47,138,30
428,ミミロップ,ノーマル,,メロメロボディ/ぶきよう/じゅうなん,65,76,84,54,96,105
428,メガミミロップ,ノーマル,かくとう,きもったま,65,136,94,54,96,135
442,ミカルゲ,ゴースト,あく,プレッシャー/すりぬけ,50,92,108,92,108,35
445,ガブリアス,ドラゴン,じめん,すながくれ/さめはだ,108,130,95,80,85,102
445,メガガブリアス,ドラゴン,じめん,すなのちから,108,170,115,120,95,92
448,ルカリオ,かくとう,はがね,ふくつのこころ/せいしんりょく/せいぎのこころ,70,110,70,115,70,90
448,メガルカリオ,かくとう,はがね,てきおうりょく,70,145,88,140,70,112
450,カバルドン,じめん,,すなおこし/すなのちから,108,112,118,68,72,47
454,ドクロッグ,どく,かくとう,きけんよち/かんそうはだ/どくしゅ,83,106,65,86,65,85
460,ユキノオー,くさ,こおり,ゆきふらし/ぼうおん,90,92,75,92,85,60
460,メガユキノオー,くさ,こおり,ゆきふらし,90,132,105,132,105,30
461,マニューラ,あく,こおり,プレッシャー/わるいてぐせ,70,120,65,45,85,125
464,ドサイドン,じめん,いわ,ひらいしん/ハードロック/すてみ,115,140,130,55,55,40
470,リーフィア,くさ,,リーフガード/ようりょくそ,65,110,130,60,65,95
471,グレイシア,こおり,,ゆきがくれ/アイスボディ,65,60,110,130,95,65
472,グライオン,じめん,ひこう,かいりきバサミ/すながくれ/ポイズンヒール,75,95,125,45,75,95
473,マンムー,こおり,じめん,どんかん/ゆきがくれ/あついしぼう,110,130,80,70,60,80
475,エルレイド,エスパー,かくとう,ふくつのこころ/きれあじ/せいぎのこころ,68,125,65,65,115,80
475,メガエルレイド,エスパー,かくとう,せいしんりょく,68,165,95,65,115,110
478,ユキメノコ,こおり,ゴースト,ゆきがくれ/のろわれボディ,70,80,70,80,70,110
478,メガユキメノコ,こおり,ゴースト,ゆきふらし,70,80,70,140,100,120
479,ロトム,でんき,ゴースト,ふゆう,50,50,77,95,77,91
479,ヒートロトム,でんき,ほのお,ふゆう,50,65,107,105,107,86
479,ウォッシュロトム,でんき,みず,ふゆう,50,65,107,105,107,86
479,フロストロトム,でんき,こおり,ふゆう,50,65,107,105,107,86
479,スピンロトム,でんき,ひこう,ふゆう,50,65,107,105,107,86
479,カットロトム,でんき,くさ,ふゆう,50,65,107,105,107,86
497,ジャローダ,くさ,,しんりょく/あまのじゃく,75,75,95,75,95,113
500,エンブオー,ほのお,かくとう,もうか/すてみ,110,123,65,100,65,65
500,メガエンブオー,ほのお,かくとう,かたやぶり,110,148,75,110,110,75
503,ダイケンキ,みず,,げきりゅう/シェルアーマー,95,100,85,108,70,70
503,ダイケンキ(ヒスイ),みず,あく,げきりゅう/きれあじ,90,108,80,100,65,85
505,ミルホッグ,ノーマル,,はっこう/するどいめ/アナライズ,60,85,69,60,69,77
510,レパルダス,あく,,じゅうなん/かるわざ/いたずらごころ,64,88,50,88,50,106
512,ヤナッキー,くさ,,くいしんぼう/しんりょく,75,98,63,98,63,101
514,バオッキー,ほのお,,くいしんぼう/もうか,75,98,63,98,63,101
516,ヒヤッキー,みず,,くいしんぼう/げきりゅう,75,98,63,98,63,101
518,ムシャーナ,エスパー,,よちむ/シンクロ/テレパシー,116,55,85,107,95,29
530,ドリュウズ,じめん,はがね,すなかき/すなのちから/かたやぶり,110,135,60,50,65,88
530,メガドリュウズ,じめん,はがね,かんつうドリル,110,165,100,65,65,103
531,タブンネ,ノーマル,,いやしのこころ/さいせいりょく/ぶきよう,103,60,86,60,86,50
531,メガタブンネ,ノーマル,フェアリー,いやしのこころ,103,60,126,80,126,50
534,ローブシン,かくとう,,こんじょう/ちからずく/てつのこぶし,105,140,95,55,65,45
545,ペンドラー,むし,どく,どくのトゲ/むしのしらせ/かそく,60,100,89,55,69,112
545,メガペンドラー,むし,どく,シェルアーマー,60,140,149,75,99,62
547,エルフーン,くさ,フェアリー,いたずらごころ/すりぬけ/ようりょくそ,60,67,85,77,75,116
553,ワルビアル,じめん,あく,いかく/じしんかじょう/いかりのつぼ,95,117,80,65,70,92
560,ズルズキン,あく,かくとう,だっぴ/じしんかじょう/いかく,65,90,115,45,115,58
560,メガズルズキン,あく,かくとう,いかく,65,130,135,55,135,68
563,デスカーン,ゴースト,,ミイラ,58,50,145,95,105,30
569,ダストダス,どく,,あくしゅう/くだけるよろい/ゆうばく,80,95,82,60,82,75
571,ゾロアーク,あく,,イリュージョン,60,105,60,120,60,105
571,ゾロアーク(ヒスイ),ノーマル,ゴースト,イリュージョン,55,100,60,125,60,110
579,ランクルス,エスパー,,ぼうじん/マジックガード/さいせいりょく,110,65,75,125,85,30
584,バイバニラ,こおり,,アイスボディ/ゆきふらし/くだけるよろい,71,95,85,110,95,79
587,エモンガ,でんき,ひこう,せいでんき/でんきエンジン,55,75,60,75,60,103
604,シビルドン,でんき,,ふゆう,85,115,80,105,80,50
604,メガシビルドン,でんき,,うなぎのぼり,85,145,80,135,90,80
609,シャンデラ,ゴースト,ほのお,もらいび/ほのおのからだ/すりぬけ,60,55,90,145,90,80
609,メガシャンデラ,ゴースト,ほのお,すりぬけ,60,75,110,175,110,90
614,ツンベアー,こおり,,ゆきがくれ/ゆきかき/すいすい,95,130,80,70,80,50
618,マッギョ,じめん,でんき,せいでんき/じゅうなん/すながくれ,109,66,84,81,99,32
618,マッギョ(ガラル),じめん,はがね,ぎたい,109,81,99,66,84,32
623,ゴルーグ,じめん,ゴースト,てつのこぶし/ぶきよう/ノーガード,89,124,80,55,80,55
623,メガゴルーグ,じめん,ゴースト,ふかしのこぶし,89,159,105,70,105,55
635,サザンドラ,あく,ドラゴン,ふゆう,92,105,90,125,90,98
637,ウルガモス,むし,ほのお,ほのおのからだ/むしのしらせ,85,60,65,135,105,100
652,ブリガロン,くさ,かくとう,しんりょく/ぼうだん,88,107,122,74,75,64
652,メガブリガロン,くさ,かくとう,ぼうだん,88,137,172,74,115,44
655,マフォクシー,ほのお,エスパー,もうか/マジシャン,75,69,72,114,100,104
655,メガマフォクシー,ほのお,エスパー,ふゆう,75,69,72,159,125,134
658,ゲッコウガ,みず,あく,げきりゅう/へんげんじざい,72,95,67,103,71,122
658,メガゲッコウガ,みず,あく,へんげんじざい,72,125,77,133,81,142
660,ホルード,ノーマル,じめん,ものひろい/ほおぶくろ/ちからもち,85,56,77,50,77,78
663,ファイアロー,ほのお,ひこう,ほのおのからだ/はやてのつばさ,78,81,71,74,69,126
666,ビビヨン,むし,ひこう,りんぷん/ふくがん/フレンドガード,80,52,50,90,50,89
668,カエンジシ,ほのお,ノーマル,とうそうしん/きんちょうかん/じしんかじょう,86,68,72,109,66,106
668,メガカエンジシ,ほのお,ノーマル,ほのおのたてがみ,86,88,92,129,86,126
670,フラエッテ(えいえん),フェアリー,,フラワーベール/きょうせい,74,65,67,125,128,92
670,メガフラエッテ,フェアリー,,フェアリーオーラ,74,85,87,155,148,102
671,フラージェス,フェアリー,,フラワーベール/きょうせい,78,65,68,112,154,75
675,ゴロンダ,かくとう,あく,てつのこぶし/かたやぶり/きもったま,95,124,78,69,71,58
676,トリミアン,ノーマル,,ファーコート,75,80,60,65,90,102
678,ニャオニクス♂,エスパー,,するどいめ/すりぬけ/いたずらごころ,74,48,76,83,81,104
678,ニャオニクス♀,エスパー,,するどいめ/すりぬけ/かちき,74,48,76,83,81,104
678,メガニャオニクス♂,エスパー,,トレース,74,48,76,143,101,124
678,メガニャオニクス♀,エスパー,,トレース,74,48,76,143,101,124
681,ギルガルド(シールド),はがね,ゴースト,バトルスイッチ,60,50,140,50,140,60
681,ギルガルド(ブレード),はがね,ゴースト,バトルスイッチ,60,140,50,140,50,60
683,フレフワン,フェアリー,,いやしのこころ/アロマベール,101,72,72,99,89,29
685,ペロリーム,フェアリー,,スイートベール/かるわざ,82,80,86,85,75,72
687,カラマネロ,あく,エスパー,あまのじゃく/きゅうばん/すりぬけ,86,92,88,68,75,73
687,メガカラマネロ,あく,エスパー,あまのじゃく,86,102,88,98,120,88
689,ガメノデス,いわ,みず,かたいツメ/スナイパー/わるいてぐせ,72,105,115,54,86,68
689,メガガメノデス,いわ,かくとう,かたいツメ,72,140,130,64,106,88
691,ドラミドロ,どく,ドラゴン,どくのトゲ/どくしゅ/てきおうりょく,65,75,90,97,123,44
691,メガドラミドロ,どく,ドラゴン,さいせいりょく,65,85,105,132,163,44
693,ブロスター,みず,,メガランチャー,71,73,88,120,89,59
695,エレザード,でんき,ノーマル,かんそうはだ/すながくれ/サンパワー,62,55,52,109,94,109
697,ガチゴラス,いわ,ドラゴン,がんじょうあご/いしあたま,82,121,119,69,59,71
699,アマルルガ,いわ,こおり,フリーズスキン/ゆきふらし,123,77,72,99,92,58
700,ニンフィア,フェアリー,,メロメロボディ/フェアリースキン,95,65,65,110,130,60
701,ルチャブル,かくとう,ひこう,じゅうなん/かるわざ/かたやぶり,78,92,75,74,63,118
701,メガルチャブル,かくとう,ひこう,ノーガード,78,137,100,74,93,118
702,デデンネ,でんき,フェアリー,ほおぶくろ/ものひろい/プラス,67,58,57,81,67,101
706,ヌメルゴン,ドラゴン,,そうしょく/うるおいボディ/ぬめぬめ,90,100,70,110,150,80
706,ヌメルゴン(ヒスイ),はがね,ドラゴン,そうしょく/シェルアーマー/ぬめぬめ,80,100,100,110,150,60
707,クレッフィ,はがね,フェアリー,いたずらごころ/マジシャン,57,80,91,80,87,75
709,オーロット,ゴースト,くさ,しぜんかいふく/おみとおし/しゅうかく,85,110,76,65,82,56
711,パンプジン(普通),ゴースト,くさ,ものひろい/おみとおし/ふみん,65,90,122,58,75,84
711,パンプジン(小),ゴースト,くさ,ものひろい/おみとおし/ふみん,55,85,122,58,75,99
711,パンプジン(大),ゴースト,くさ,ものひろい/おみとおし/ふみん,75,95,122,58,75,69
711,パンプジン(特大),ゴースト,くさ,ものひろい/おみとおし/ふみん,85,100,122,58,75,54
713,クレベース,こおり,,マイペース/アイスボディ/がんじょう,95,117,184,44,46,28
713,クレベース(ヒスイ),こおり,いわ,がんじょうあご/アイスボディ/がんじょう,95,127,184,34,36,38
715,オンバーン,ひこう,ドラゴン,おみとおし/すりぬけ/テレパシー,85,70,80,97,80,123
724,ジュナイパー,くさ,ゴースト,しんりょく/えんかく,78,107,75,100,100,70
724,ジュナイパー(ヒスイ),くさ,かくとう,しんりょく/きもったま,88,112,80,95,95,60
727,ガオガエン,ほのお,あく,もうか/いかく,95,115,90,80,90,60
730,アシレーヌ,みず,フェアリー,げきりゅう/うるおいボイス,80,74,74,126,116,60
733,ドデカバシ,ノーマル,ひこう,するどいめ/スキルリンク/ちからずく,80,120,75,75,75,60
740,ケケンカニ,かくとう,こおり,かいりきバサミ/てつのこぶし/いかりのつぼ,97,132,77,62,67,43
740,メガケケンカニ,かくとう,こおり,てつのこぶし,97,157,122,62,107,33
745,ルガルガン(まひる),いわ,,するどいめ/すなかき/ふくつのこころ,75,115,65,55,65,112
745,ルガルガン(まよなか),いわ,,するどいめ/やるき/ノーガード,85,115,75,55,75,82
745,ルガルガン(たそがれ),いわ,,かたいツメ,75,117,65,55,65,110
748,ドヒドイデ,どく,みず,ひとでなし/じゅうなん/さいせいりょく,50,63,152,53,142,35
750,バンバドロ,じめん,,マイペース/じきゅうりょく/せいしんりょく,100,125,100,55,85,35
752,オニシズクモ,みず,むし,すいほう/ちょすい,68,70,92,50,132,42
758,エンニュート,どく,ほのお,ふしょく/どんかん,68,64,60,111,60,117
763,アマージョ,くさ,,リーフガード/じょおうのいげん/スイートベール,72,120,98,50,98,72
765,ヤレユータン,ノーマル,エスパー,せいしんりょく/テレパシー/きょうせい,90,60,80,90,110,60
766,ナゲツケサル,かくとう,,レシーバー/まけんき,100,120,90,40,60,80
778,ミミッキュ,ゴースト,フェアリー,ばけのかわ,55,90,80,50,105,96
780,ジジーロン,ノーマル,ドラゴン,ぎゃくじょう/そうしょく/ノーてんき,78,60,85,135,91,36
780,メガジジーロン,ノーマル,ドラゴン,ぎゃくじょう,78,85,110,160,116,36
784,ジャラランガ,ドラゴン,かくとう,ぼうだん/ぼうおん/ぼうじん,75,110,125,100,105,85
823,アーマーガア,ひこう,はがね,プレッシャー/きんちょうかん/ミラーアーマー,98,87,105,53,85,67
841,アップリュー,くさ,ドラゴン,じゅくせい/くいしんぼう/はりきり,70,110,80,95,60,70
842,タルップル,くさ,ドラゴン,じゅくせい/くいしんぼう/あついしぼう,110,85,80,100,80,30
844,サダイジャ,じめん,,すなはき/だっぴ/すながくれ,72,107,125,65,70,71
855,ポットデス,ゴースト,,くだけるよろい/のろわれボディ,60,65,65,134,114,70
858,ブリムオン,エスパー,フェアリー,いやしのこころ/きけんよち/マジックミラー,57,90,95,136,103,29
861,オーロンゲ,あく,フェアリー,いたずらごころ/おみとおし/わるいてぐせ,95,120,65,95,75,60
866,バリコオル,こおり,エスパー,ちどりあし/バリアフリー/アイスボディ,80,85,75,110,100,70
867,デスバーン,じめん,ゴースト,さまようたましい,58,95,145,50,105,30
869,マホイップ,フェアリー,,スイートベール/アロマベール,65,60,75,110,121,64
870,タイレーツ,かくとう,,カブトアーマー/まけんき,65,100,100,70,60,75
870,メガタイレーツ,かくとう,あく,まけんき,65,135,135,70,65,100
877,モルペコ,でんき,,はらぺこスイッチ,58,95,58,70,58,97
887,ドラパルト,ドラゴン,ゴースト,クリアボディ/すりぬけ/のろわれボディ,88,120,75,100,75,142
899,アヤシシ,ノーマル,エスパー,いかく/おみとおし/そうしょく,103,105,72,105,75,65
900,バサギリ,むし,いわ,むしのしらせ/ちからずく/きれあじ,70,135,95,45,70,85
902,イダイトウ♂,みず,ゴースト,すいすい/てきおうりょく/かたやぶり,120,112,65,80,75,78
902,イダイトウ♀,みず,ゴースト,すいすい/てきおうりょく/かたやぶり,120,92,65,100,75,78
903,オオニューラ,かくとう,どく,プレッシャー/かるわざ/どくしゅ,80,130,60,40,80,120
904,ハリーマン,あく,どく,どくのトゲ/すいすい/いかく,85,115,95,65,65,85
908,マスカーニャ,くさ,あく,しんりょく/へんげんじざい,76,110,70,81,70,123
911,ラウドボーン,ほのお,ゴースト,もうか/てんねん,104,75,100,110,75,66
914,ウェーニバル,みず,かくとう,げきりゅう/じしんかじょう,85,120,80,85,75,85
925,イッカネズミ,ノーマル,,フレンドガード/ほおぶくろ/テクニシャン,74,75,70,65,75,111
934,キョジオーン,いわ,,きよめのしお/がんじょう/クリアボディ,100,100,130,45,90,35
936,グレンアルマ,ほのお,エスパー,もらいび/くだけるよろい,85,60,100,125,80,75
937,ソウブレイズ,ほのお,ゴースト,もらいび/くだけるよろい,75,125,80,60,100,85
939,ハラバリー,でんき,,でんきにかえる/せいでんき/しめりけ,109,64,91,103,83,45
952,スコヴィラン,くさ,ほのお,ようりょくそ/ふみん/ムラっけ,65,108,65,108,65,75
952,メガスコヴィラン,くさ,ほのお,とびだすハバネロ,65,138,85,138,85,75
956,クエスパトラ,エスパー,,びんじょう/おみとおし/かそく,95,60,60,101,60,105
959,デカヌチャン,フェアリー,はがね,かたやぶり/マイペース/わるいてぐせ,85,75,77,70,105,94
964,イルカマン(ナイーブ),みず,,マイティチェンジ,100,70,72,53,62,100
964,イルカマン(マイティ),みず,,マイティチェンジ,100,160,97,106,87,100
968,ミミズズ,はがね,,どしょく/すながくれ,70,85,145,60,55,65
970,キラフロル,いわ,どく,どくげしょう/ふしょく,83,55,90,130,81,86
970,メガキラフロル,いわ,どく,てきおうりょく,83,90,105,150,96,101
972,ハカドッグ,ゴースト,,すなかき/もふもふ,72,101,100,50,97,68
979,コノヨザル,かくとう,ゴースト,やるき/せいしんりょく/まけんき,110,115,80,50,90,90
981,リキキリン,ノーマル,エスパー,はんすう/テイルアーマー/そうしょく,120,90,70,110,70,60
983,ドドゲザン,あく,はがね,まけんき/そうだいしょう/プレッシャー,100,135,120,60,85,50
1000,サーフゴー,はがね,ゴースト,おうごんのからだ,87,60,95,133,91,84
1013,ヤバソチャ,くさ,ゴースト,おもてなし/たいねつ,71,60,106,121,80,70
1018,ブリジュラス,はがね,ドラゴン,じきゅうりょく/がんじょう/すじがねいり,90,105,130,125,65,85
1019,カミツオロチ,くさ,ドラゴン,かんろなミツ/さいせいりょく/ねんちゃく,106,80,110,120,80,44
