name,type,category,power,accuracy,priority,effect,rank_change
げきりん,ドラゴン,物理,120.0,100.0,0.0,2〜3ターン連続で攻撃し、その後こんらんになる,
オーバーヒート,ほのお,特殊,130.0,90.0,0.0,自分のとくこうが2段階下がる,自分とくこう-2
いたみわけ,ノーマル,変化,,,0.0,相手とHPを平均化する,
パラボラチャージ,でんき,特殊,65.0,100.0,0.0,与ダメージの1/2を回復,
ほろびのうた,ノーマル,変化,,,0.0,3ターン後、聞いた全員が瀕死になる,
ゴーストダイブ,ゴースト,物理,90.0,100.0,0.0,1ターン目に消え、2ターン目に攻撃。まもるを貫通,
じゃれつく,フェアリー,物理,90.0,90.0,0.0,10%で相手のこうげきを1段階下げる,相手こうげき-1(10%)
ネズミざん,ノーマル,物理,20.0,90.0,0.0,10回連続攻撃,
パワージェム,いわ,特殊,80.0,100.0,0.0,追加効果なし,
パワーウィップ,くさ,物理,120.0,85.0,0.0,追加効果なし,
まもる,ノーマル,変化,,,4.0,そのターンの攻撃を防ぐ（優先度+4・連続使用で成功率低下）,
サイコキネシス,エスパー,特殊,90.0,100.0,0.0,10%で相手のとくぼうを1段階下げる,相手とくぼう-1(10%)
サイコフィールド,エスパー,変化,,,0.0,5ターン、地上のポケモンが先制技を受けなくなる,
サイコカッター,エスパー,物理,70.0,100.0,0.0,急所に当たりやすい,
サイコショック,エスパー,特殊,80.0,100.0,0.0,相手のぼうぎょの数値でダメージを計算する（特殊技）,
でんこうせっか,ノーマル,物理,40.0,100.0,1.0,先制攻撃（優先度+1）,
ちょうのまい,むし,変化,,,0.0,自分のとくこう・とくぼう・すばやさを1段階ずつ上げる,自分とくこう+1/とくぼう+1/すばやさ+1
ふんどのこぶし,ゴースト,物理,50.0,100.0,0.0,受けた攻撃の回数だけ威力上昇（最大350）,
シェルブレード,みず,物理,75.0,95.0,0.0,50%で相手のぼうぎょを1段階下げる,相手ぼうぎょ-1(50%)
じこさいせい,ノーマル,変化,,,0.0,最大HPの1/2回復,
リフレクター,エスパー,変化,,,0.0,5ターン、物理技のダメージを軽減する,
ねむる,エスパー,変化,,,0.0,HPを全回復し、2ターンねむり状態になる,
ほえる,ノーマル,変化,,,-6.0,相手を強制交代させる（優先度-6）,
ロックブラスト,いわ,物理,25.0,90.0,0.0,2〜5回連続攻撃,
いわなだれ,いわ,物理,75.0,90.0,0.0,30%で相手をひるませる,
がんせきふうじ,いわ,物理,60.0,95.0,0.0,相手のすばやさを1段階下げる,相手すばやさ-1(100%)
はねやすめ,ひこう,変化,,,0.0,最大HPの1/2回復。そのターンひこうタイプが消える,
せいなるつるぎ,かくとう,物理,90.0,100.0,0.0,相手の能力変化を無視してダメージを与える,
ねっとう,みず,特殊,80.0,100.0,0.0,30%でやけど。自分のこおり状態を治す,
スケイルショット,ドラゴン,物理,25.0,90.0,0.0,2〜5回連続攻撃。終了後ぼうぎょ-1・すばやさ+1,自分すばやさ+1/ぼうぎょ-1
シャドーボール,ゴースト,特殊,80.0,100.0,0.0,20%で相手のとくぼうを1段階下げる,相手とくぼう-1(20%)
シャドークロー,ゴースト,物理,70.0,100.0,0.0,急所に当たりやすい,
かげうち,ゴースト,物理,40.0,100.0,1.0,先制攻撃（優先度+1）,
しっぽきり,ノーマル,変化,,,0.0,HPを半分払ってみがわりを残して交代する,
ぜったいれいど,こおり,特殊,,30.0,0.0,一撃必殺。こおり以外が使うと命中率低下,
からをやぶる,ノーマル,変化,,,0.0,ぼうぎょ・とくぼうが2段階下がり、こうげき・とくこう・すばやさが2段階上がる,自分こうげき+2/とくこう+2/すばやさ+2/ぼうぎょ-2/とくぼう-2
なまける,ノーマル,変化,,,0.0,最大HPの1/2回復,
ねむりごな,くさ,変化,,75.0,0.0,相手をねむり状態にする,
ヘドロばくだん,どく,特殊,90.0,100.0,0.0,30%でどく,
ヘドロウェーブ,どく,特殊,95.0,100.0,0.0,10%でどく,
うちおとす,いわ,物理,50.0,100.0,0.0,ひこうタイプ・ふゆうを地面に落とす,
みずびたし,みず,変化,,100.0,0.0,相手のタイプをみずに変える,
ソーラービーム,くさ,特殊,120.0,100.0,0.0,1ターン溜めが必要。晴れでは溜めなし、雨等では威力半減,
うたかたのアリア,みず,特殊,90.0,100.0,0.0,相手のやけどを治す（音技・みがわり貫通）,
まきびし,じめん,変化,,,0.0,相手の場にまきびしを設置（3回まで重複）,
スピリットブレイク,フェアリー,物理,75.0,100.0,0.0,相手のとくこうを1段階下げる,相手とくこう-1(100%)
ステルスロック,いわ,変化,,,0.0,相手の場に岩を設置。交代時にタイプ相性倍率でダメージ,
ねばねばネット,むし,変化,,,0.0,相手の場に網を設置。交代で出た相手のすばやさ-1,相手すばやさ-1(交代時)
ストーンオノ,いわ,物理,65.0,90.0,0.0,攻撃後に相手の場へまきびし（岩）を設置,
ストーンエッジ,いわ,物理,100.0,80.0,0.0,急所に当たりやすい,
アシストパワー,エスパー,特殊,20.0,100.0,0.0,自分の能力上昇1段階につき威力+20,
ちからをすいとる,くさ,変化,,100.0,0.0,相手のこうげき分HPを回復し、相手のこうげきを1段階下げる,相手こうげき-1(100%)
みがわり,ノーマル,変化,,,0.0,HPを1/4払ってみがわりを出す,
ふいうち,あく,物理,70.0,100.0,1.0,相手が攻撃技を選んだ時のみ成功する先制技（優先度+1）,
にほんばれ,ほのお,変化,,,0.0,5ターン晴れにする,
ばかぢから,かくとう,物理,120.0,100.0,0.0,自分のこうげき・ぼうぎょが1段階下がる,自分こうげき-1/ぼうぎょ-1
なみのり,みず,特殊,90.0,100.0,0.0,追加効果なし（ダブルでは味方も巻き込む）,
つるぎのまい,ノーマル,変化,,,0.0,自分のこうげきを2段階上げる,自分こうげき+2
こうごうせい,くさ,変化,,,0.0,最大HPの1/2回復（天候で変動）,
おいかぜ,ひこう,変化,,,0.0,4ターン、味方全体のすばやさが2倍になる,
ちょうはつ,あく,変化,,100.0,0.0,3ターン、相手は変化技を使えなくなる,
じごくづき,あく,物理,80.0,100.0,0.0,2ターン、相手は音技を使えなくなる,
かみなりパンチ,でんき,物理,75.0,100.0,0.0,10%でまひ,
10まんボルト,でんき,特殊,90.0,100.0,0.0,10%でまひ,
おかたづけ,ノーマル,変化,,,0.0,場の設置技とみがわりを全て消し、こうげき・すばやさが1段階上がる,自分こうげき+1/すばやさ+1
フレアソング,ほのお,特殊,80.0,100.0,0.0,自分のとくこうが1段階上がる,自分とくこう+1(100%)
どくどく,どく,変化,,90.0,0.0,相手を猛毒状態にする（どくタイプが使うと必中）,
どくびし,どく,変化,,,0.0,相手の場にどくびしを設置。交代で出た相手をどく状態に,
くさわけ,くさ,物理,50.0,100.0,0.0,自分のすばやさが1段階上がる,自分すばやさ+1(100%)
へんしん,ノーマル,変化,,,0.0,相手にへんしんする,
トリック,エスパー,変化,,100.0,0.0,相手と持ち物を入れ替える,
トリックルーム,エスパー,変化,,,-7.0,5ターン、すばやさの低い方が先に動く（優先度-7）,
トリプルアクセル,こおり,物理,20.0,90.0,0.0,3回連続攻撃。当たるごとに威力が20ずつ増加,
とんぼがえり,むし,物理,70.0,100.0,0.0,攻撃後に交代する,
しんくうは,かくとう,物理,40.0,100.0,1.0,先制攻撃（優先度+1）,
ボルトチェンジ,でんき,特殊,70.0,100.0,0.0,攻撃後に交代する,
みずのはどう,みず,特殊,60.0,100.0,0.0,20%でこんらん,
みずしゅりけん,みず,特殊,15.0,100.0,1.0,2〜5回連続攻撃の先制技（優先度+1）,
たきのぼり,みず,物理,80.0,100.0,0.0,20%で相手をひるませる,
ウェーブタックル,みず,物理,120.0,100.0,0.0,与ダメージの1/3を反動で受ける,
ウェザーボール,ノーマル,特殊,50.0,100.0,0.0,天候でタイプと威力が変化（天候時は威力100）,
ふきとばし,ノーマル,変化,,,-6.0,相手を強制交代させる（優先度-6）,
おにび,ほのお,変化,,85.0,0.0,相手をやけど状態にする（物理攻撃力が半減）,
ねがいごと,ノーマル,変化,,,0.0,次のターン、最大HPの1/2を回復する,
ウッドハンマー,くさ,物理,120.0,100.0,0.0,与ダメージの1/3を反動で受ける,
シザークロス,むし,物理,80.0,100.0,0.0,追加効果なし,
あくび,ノーマル,変化,,,0.0,次のターン終了時に相手をねむり状態にする,
でんじほう,でんき,特殊,120.0,50.0,0.0,必ずまひにするが命中50,
しねんのずつき,エスパー,物理,80.0,90.0,0.0,20%で相手をひるませる,
アーマーキャノン,ほのお,特殊,120.0,100.0,0.0,自分のぼうぎょ・とくぼうが1段階下がる,自分ぼうぎょ-1/とくぼう-1
ワイドフォース,エスパー,特殊,80.0,100.0,0.0,サイコフィールド中は威力上昇し相手全体を攻撃,
みわくのボイス,フェアリー,特殊,80.0,100.0,0.0,そのターンに能力が上がった相手をこんらんにする,
フェイタルクロー,どく,物理,80.0,100.0,0.0,30%でどく・まひ・ねむりのいずれかにする,
ひけん・ちえなみ,あく,物理,65.0,90.0,0.0,攻撃後に相手の場へまきびしを設置,
ドゲザン,あく,物理,85.0,,0.0,必中,
キングシールド,はがね,変化,,,4.0,攻撃を防ぎ、接触してきた相手のこうげきを1段階下げる（優先度+4）,相手こうげき-1(接触時)
ドラゴンアロー,ドラゴン,物理,50.0,100.0,0.0,2回連続攻撃。ダブルでは2体に1回ずつ当たる,
ゴールドラッシュ,はがね,特殊,120.0,100.0,0.0,自分のとくこうが1段階下がる,自分とくこう-1
シャカシャカほう,くさ,特殊,80.0,90.0,0.0,与ダメージの1/2を回復。20%でやけど,
くちばしキャノン,ひこう,物理,100.0,100.0,-3.0,先に溜め、その間に接触してきた相手をやけどにする（優先度-3）,
ルミナコリジョン,エスパー,特殊,80.0,100.0,0.0,相手のとくぼうを2段階下げる,相手とくぼう-2(100%)
どくばりセンボン,どく,物理,60.0,100.0,0.0,50%でどく。相手がどく状態なら威力2倍,
ポルターガイスト,ゴースト,物理,110.0,90.0,0.0,相手が持ち物を持っていないと失敗する,
ミストバースト,フェアリー,特殊,100.0,100.0,0.0,自分は瀕死になる。ミストフィールドで威力上昇,
むねんのつるぎ,ほのお,物理,90.0,100.0,0.0,与ダメージの1/2を回復,
うらみつらみ,あく,物理,75.0,100.0,0.0,相手のこうげきを1段階下げる,相手こうげき-1(100%)
サイコファング,エスパー,物理,85.0,100.0,0.0,リフレクター・ひかりのかべを壊してから攻撃,
はどうだん,かくとう,特殊,80.0,,0.0,必中,
どくげしょうへき,どく,変化,,,4.0,攻撃を防ぎ、接触してきた相手をどく状態にする（優先度+4）,
ビルドアップ,かくとう,変化,,,0.0,自分のこうげき・ぼうぎょを1段階ずつ上げる,自分こうげき+1/ぼうぎょ+1
はめつのひかり,フェアリー,特殊,140.0,90.0,0.0,与ダメージの1/2を反動で受ける,
キラースピン,どく,物理,30.0,100.0,0.0,設置技を解除し、相手をどく状態にする,
すてゼリフ,あく,変化,,100.0,0.0,相手のこうげき・とくこうを1段階下げて交代する,相手こうげき-1/とくこう-1
アクセルロック,いわ,物理,40.0,100.0,1.0,先制攻撃（優先度+1）,
とける,どく,変化,,,0.0,自分のぼうぎょを2段階上げる,自分ぼうぎょ+2
アクロバット,ひこう,物理,55.0,100.0,0.0,持ち物を持っていないと威力2倍（110）,
つばめがえし,ひこう,物理,60.0,,0.0,必中,
ドわすれ,エスパー,変化,,,0.0,自分のとくぼうを2段階上げる,自分とくぼう+2
げんしのちから,いわ,特殊,60.0,100.0,0.0,10%で自分の全能力が1段階ずつ上がる,自分全能力+1(10%)
りんごさん,くさ,特殊,90.0,100.0,0.0,相手のとくぼうを1段階下げる,相手とくぼう-1(100%)
アクアステップ,みず,物理,80.0,100.0,0.0,自分のすばやさが1段階上がる,自分すばやさ+1(100%)
ダメおし,あく,物理,60.0,100.0,0.0,そのターンに相手がダメージを受けていると威力2倍,
メロメロ,ノーマル,変化,,100.0,0.0,異性の相手をメロメロ状態にする,
オーラぐるま,でんき,物理,110.0,100.0,0.0,自分のすばやさが1段階上がる。モルペコ専用,自分すばやさ+1(100%)
つぶらなひとみ,フェアリー,変化,,100.0,1.0,相手のこうげきを1段階下げる（優先度+1）,相手こうげき-1(100%)
ゲップ,どく,特殊,120.0,90.0,0.0,きのみを食べていないと使用できない,
とおせんぼう,ノーマル,変化,,,0.0,相手を交代・逃走できなくする,
のしかかり,ノーマル,物理,85.0,100.0,0.0,30%でまひ。ちいさくなった相手には威力2倍,
ばくおんぱ,ノーマル,特殊,140.0,100.0,0.0,みがわりを貫通（音技）。ダブルでは味方も巻き込む,
むしくい,むし,物理,60.0,100.0,0.0,相手のきのみを食べて効果を得る,
じならし,じめん,物理,60.0,100.0,0.0,相手のすばやさを1段階下げる,相手すばやさ-1(100%)
バーンアウト,ほのお,特殊,130.0,100.0,0.0,使用後、自分のほのおタイプが消える,
しっとのほのお,ほのお,特殊,70.0,100.0,0.0,そのターンに能力が上がった相手をやけどにする,
じゅうでん,でんき,変化,,,0.0,次のでんき技の威力2倍。とくぼうが1段階上がる,自分とくぼう+1
チャージビーム,でんき,特殊,50.0,90.0,0.0,70%で自分のとくこうが1段階上がる,自分とくこう+1(70%)
あまえる,フェアリー,変化,,100.0,0.0,相手のこうげきを2段階下げる,相手こうげき-2(100%)
ひやみず,みず,特殊,50.0,100.0,0.0,相手のこうげきを1段階下げる,相手こうげき-1(100%)
スケイルノイズ,ドラゴン,特殊,110.0,100.0,0.0,自分のぼうぎょが1段階下がる（音技）,自分ぼうぎょ-1
ソウルビート,ドラゴン,物理,,,0.0,HPを1/3払い、全能力を1段階ずつ上げる,自分全能力+1
とぐろをまく,どく,変化,,,0.0,自分のこうげき・ぼうぎょ・命中率を1段階ずつ上げる,自分こうげき+1/ぼうぎょ+1
ほうふく,あく,物理,,100.0,0.0,受けた物理技のダメージを1.5倍で返す,
オウムがえし,ノーマル,変化,,,0.0,相手が直前に使った技を使う,
コットンガード,くさ,変化,,,0.0,自分のぼうぎょを3段階上げる,自分ぼうぎょ+3
カウンター,かくとう,物理,,100.0,-5.0,受けた物理技のダメージを2倍にして返す（優先度-5）,
クラブハンマー,みず,物理,100.0,90.0,0.0,急所に当たりやすい,
クロスポイズン,どく,物理,70.0,100.0,0.0,急所に当たりやすい。10%でどく,
きりばらい,ひこう,変化,,,0.0,相手の壁・場の設置技を全て消し、相手の回避率を下げる,
かなしばり,ノーマル,変化,,100.0,0.0,4ターン、相手は直前の技を使えなくなる,
ほうでん,でんき,特殊,80.0,100.0,0.0,30%でまひ。周囲全体を攻撃,
かげぶんしん,ノーマル,変化,,,0.0,自分の回避率を1段階上げる,
ドラゴンクロー,ドラゴン,物理,80.0,100.0,0.0,追加効果なし,
ドラゴンダイブ,ドラゴン,物理,100.0,75.0,0.0,20%で相手をひるませる。ちいさくなった相手に威力2倍,
ドリルライナー,じめん,物理,80.0,95.0,0.0,急所に当たりやすい,
ばくれつパンチ,かくとう,物理,100.0,50.0,0.0,必ずこんらんにするが命中50,
あやしいでんぱ,でんき,変化,,100.0,0.0,相手のとくこうを2段階下げる,相手とくこう-2(100%)
エレキフィールド,でんき,変化,,,0.0,5ターン、地上のポケモンがねむり状態にならずでんき技威力上昇,
エレクトロビーム,でんき,特殊,130.0,100.0,0.0,溜め時にとくこう+1。雨では溜めなし,自分とくこう+1
エレキネット,でんき,特殊,55.0,95.0,0.0,相手のすばやさを1段階下げる,相手すばやさ-1(100%)
なかまづくり,ノーマル,変化,,100.0,0.0,相手の特性を自分と同じにする,
ふんか,ほのお,特殊,150.0,100.0,0.0,残りHPが多いほど威力上昇（最大150）,
だいばくはつ,ノーマル,物理,250.0,100.0,0.0,自分は瀕死になる,
サイケこうせん,エスパー,特殊,80.0,100.0,0.0,10%で相手をひるませる,
からげんき,ノーマル,物理,70.0,100.0,0.0,やけど・まひ・どく状態なら威力2倍。やけどの攻撃半減も無視,
うそなき,あく,変化,,100.0,0.0,相手のとくぼうを2段階下げる,相手とくぼう-2(100%)
とどめばり,むし,物理,50.0,100.0,0.0,相手を倒すと自分のこうげきが3段階上がる,自分こうげき+3(撃破時)
きまぐレーザー,ドラゴン,特殊,80.0,100.0,0.0,30%で威力2倍（160）になる,
ほのおのキバ,ほのお,物理,65.0,95.0,0.0,10%でやけど、10%でひるみ,
ほのおのパンチ,ほのお,物理,75.0,100.0,0.0,10%でやけど,
ほのおのうず,ほのお,特殊,35.0,85.0,0.0,4〜5ターン相手を拘束し交代不能にする,
であいがしら,むし,物理,90.0,100.0,2.0,場に出た最初のターンのみ使用可能な先制技（優先度+2）,
じたばた,ノーマル,物理,,100.0,0.0,残りHPが少ないほど威力上昇（最大200）,
なげつける,あく,物理,,100.0,0.0,持ち物を投げつける。持ち物により威力と効果が変わる,
きあいだめ,ノーマル,変化,,,0.0,自分の急所率を2段階上げる,
こおりのいぶき,こおり,特殊,60.0,90.0,0.0,必ず急所に当たる,
みらいよち,エスパー,特殊,120.0,100.0,0.0,2ターン後に攻撃が発動する,
ギガインパクト,ノーマル,物理,150.0,90.0,0.0,使用後、次のターン動けない,
デカハンマー,はがね,物理,160.0,100.0,0.0,2ターン連続では使用できない,
グラップアップル,くさ,物理,80.0,100.0,0.0,相手のぼうぎょを1段階下げる,相手ぼうぎょ-1(100%)
ガードスワップ,エスパー,変化,,,0.0,相手とぼうぎょ・とくぼうの能力変化を入れ替える,
ハサミギロチン,ノーマル,物理,,30.0,0.0,一撃必殺。当たれば相手は瀕死,
ダストシュート,どく,物理,120.0,80.0,0.0,30%でどく,
ジャイロボール,はがね,物理,,100.0,0.0,自分が遅いほど威力上昇（最大150）,
ハードプレス,はがね,物理,,100.0,0.0,相手の残りHPが多いほど威力上昇（最大100）,
もろはのずつき,いわ,物理,150.0,80.0,0.0,与ダメージの1/2を反動で受ける,
ぶちかまし,じめん,物理,120.0,100.0,0.0,自分のぼうぎょ・とくぼうが1段階下がる,自分ぼうぎょ-1/とくぼう-1
いやしのねがい,エスパー,変化,,,0.0,自分は瀕死になるが、次に出す味方のHPと状態異常を全回復,
